event_id,region,latitude,longitude,date,fire_radiative_power,confidence,brightness_temp,area_km2,frp_threshold,query_start,query_end
fire_ca_1,california,40.7297,-120.2969,2024-07-24,25580.0,99,380.5,25.3,100,2023-11-27,2025-11-26
fire_ca_2,california,40.5304,-119.9211,2024-07-24,37620.0,99,395.2,42.1,100,2023-11-27,2025-11-26
fire_ca_3,california,40.5919,-120.4779,2024-07-23,16229.0,99,372.8,18.5,100,2023-11-27,2025-11-26
fire_ca_4,california,36.1505,-115.8682,2024-06-17,27543.0,99,388.9,31.2,100,2023-11-27,2025-11-26
fire_ca_5,california,40.5478,-120.5366,2024-07-25,5405.0,66,358.1,8.4,100,2023-11-27,2025-11-26
fire_ca_6,california,35.1260,-120.4168,2024-06-12,14517.0,99,368.4,16.9,100,2023-11-27,2025-11-26
fire_ca_7,california,36.5582,-115.3369,2024-06-16,15213.0,99,370.2,17.8,100,2023-11-27,2025-11-26
fire_ca_8,california,40.5105,-120.0949,2024-07-23,12758.0,99,365.7,14.3,100,2023-11-27,2025-11-26
fire_ca_9,california,38.6587,-117.3480,2024-08-10,14517.0,99,369.1,16.2,100,2023-11-27,2025-11-26
fire_ca_10,california,39.2833,-118.8814,2024-08-09,14588.0,99,369.5,16.4,100,2023-11-27,2025-11-26
fire_ca_11,california,40.3320,-119.7144,2024-07-22,10897.0,99,363.2,12.8,100,2023-11-27,2025-11-26
fire_ca_12,california,40.8283,-121.1993,2024-07-24,9841.0,99,361.8,11.9,100,2023-11-27,2025-11-26
fire_ca_13,california,36.9977,-115.4670,2024-06-17,16835.0,99,372.1,18.9,100,2023-11-27,2025-11-26
fire_ca_14,california,36.1114,-115.8972,2024-06-16,3584.0,66,348.9,5.8,100,2023-11-27,2025-11-26
fire_ca_15,california,37.0844,-123.5671,2024-08-20,6080.0,99,357.2,9.1,100,2023-11-27,2025-11-26
fire_ca_16,california,40.4542,-120.8558,2024-07-25,4502.0,66,352.7,6.9,100,2023-11-27,2025-11-26
fire_ca_17,california,40.4641,-120.8675,2024-07-25,1826.0,66,341.5,3.1,100,2023-11-27,2025-11-26
fire_ca_18,california,36.7386,-121.1106,2024-09-10,3810.0,66,349.8,6.1,100,2023-11-27,2025-11-26
fire_ca_19,california,36.3729,-119.7205,2024-09-05,18828.0,99,375.6,21.2,100,2023-11-27,2025-11-26
fire_ca_20,california,37.5985,-117.9328,2024-08-12,1486.0,66,340.8,2.9,100,2023-11-27,2025-11-26
fire_ca_21,california,40.4242,-120.1331,2024-07-23,1851.0,66,341.9,3.2,100,2023-11-27,2025-11-26
fire_ca_22,california,40.6240,-120.8783,2024-07-25,1131.0,33,336.4,2.1,100,2023-11-27,2025-11-26
fire_ca_23,california,36.4512,-115.6728,2024-06-16,1045.0,33,335.9,2.0,100,2023-11-27,2025-11-26
fire_ca_24,california,37.6379,-119.4119,2024-08-14,1157.0,33,337.1,2.2,100,2023-11-27,2025-11-26
fire_amazon_1,amazon,-3.7821,-62.5412,2024-09-18,15420.0,99,374.2,18.2,1000,2023-11-27,2025-11-26
fire_amazon_2,amazon,-4.2156,-61.8932,2024-09-17,22380.0,99,385.7,26.4,1000,2023-11-27,2025-11-26
fire_amazon_3,amazon,-5.8942,-63.1245,2024-09-16,18760.0,99,377.9,21.8,1000,2023-11-27,2025-11-26
fire_amazon_4,amazon,-6.3421,-62.7834,2024-09-15,31250.0,99,392.4,35.7,1000,2023-11-27,2025-11-26
fire_amazon_5,amazon,-4.9128,-61.5623,2024-09-19,12850.0,99,368.1,14.9,1000,2023-11-27,2025-11-26
fire_amazon_6,amazon,-7.1234,-63.4521,2024-08-22,27940.0,99,388.3,31.8,1000,2023-11-27,2025-11-26
fire_amazon_7,amazon,-5.2341,-62.8912,2024-08-21,19320.0,99,378.6,22.3,1000,2023-11-27,2025-11-26
fire_amazon_8,amazon,-6.7823,-61.9845,2024-08-20,24680.0,99,386.9,28.1,1000,2023-11-27,2025-11-26
fire_canada_1,canada,62.4521,-114.3782,2024-07-10,18420.0,99,376.4,21.1,1000,2023-11-27,2025-11-26
fire_canada_2,canada,58.7834,-109.2341,2024-07-12,22150.0,99,384.2,25.8,1000,2023-11-27,2025-11-26
fire_canada_3,canada,61.2945,-112.8765,2024-07-11,15780.0,99,373.1,18.7,1000,2023-11-27,2025-11-26
fire_canada_4,canada,59.5672,-110.9234,2024-06-28,28340.0,99,389.7,32.4,1000,2023-11-27,2025-11-26
fire_canada_5,canada,60.1234,-111.4523,2024-06-29,19560.0,99,379.2,22.6,1000,2023-11-27,2025-11-26
fire_australia_1,australia,-31.5421,148.7234,2024-01-15,16890.0,99,374.8,19.5,1000,2023-11-27,2025-11-26
fire_australia_2,australia,-29.7834,151.2341,2024-01-14,12340.0,99,367.3,14.2,1000,2023-11-27,2025-11-26
fire_australia_3,australia,-32.1245,149.8765,2024-01-16,21560.0,99,383.5,25.1,1000,2023-11-27,2025-11-26
