latitude,longitude,temperature
49.03,-122.45,15.252
32.95,-100.53,25.791
16.87,-100.47,28.51
29.74,-101.54,26.961
21.7,-102.98,21.28
40.99,-80.95,17.799
34.56,-107.03,19.207
39.38,-76.99,19.643
40.99,-74.56,17.407999999999998
34.56,-101.19,24.5
32.95,-117.77,21.391
42.59,-82.91,17.503
37.78,-122.03,20.471
26.52,-100.3,27.934
13.66,-90.0,27.162
32.95,-96.7,27.986
39.38,-76.99,19.643
39.38,-106.13,12.288
34.56,-83.68,21.849
39.38,-104.05,19.373
40.99,-87.34,19.898
29.74,-97.85,27.727
36.17,-119.34,24.186
39.38,-76.99,19.643
44.2,-80.5,14.599
29.74,-90.46,27.681
20.09,-76.78,28.778
29.74,-94.15,27.856
47.42,-121.97,15.470999999999998
37.78,-122.03,20.471
32.95,-87.13,25.281
42.59,-72.0,15.883
40.99,-72.43,18.06600000000001
26.52,-96.72,28.648000000000003
42.59,-78.55,15.867
34.56,-118.7,23.301
18.48,-96.34,26.339
50.63,-112.82,15.625
21.7,-78.75,28.283
42.59,-72.0,15.883
20.09,-90.43,29.03
21.7,-87.4,28.029
20.09,-71.66,29.039
26.52,-82.39,27.786
18.48,-91.27,29.158
18.48,-72.68,28.497
32.95,-96.7,27.986
10.45,-76.09,29.669
36.17,-79.56,21.692
42.59,-91.64,19.313
20.09,-100.66,19.716
20.09,-98.96,18.313
32.95,-112.02,29.136
32.95,-79.47,25.629
34.56,-81.73,23.450000000000006
34.56,-85.62,23.126
36.17,-75.58,22.937
18.48,-87.89,29.848000000000003
42.59,-87.27,19.977
28.13,-106.36,21.547
18.48,-99.72,22.833
20.09,-98.96,18.313
12.05,-87.12,28.861
15.27,-87.5,26.56600000000001
32.95,-117.77,21.391
21.7,-78.75,28.283
21.7,-80.48,28.619
39.38,-85.32,20.397
21.7,-99.52,24.625
36.17,-87.51,22.669
28.13,-82.73,27.842
40.99,-80.95,17.799
20.09,-98.96,18.313
18.48,-94.65,28.687
20.09,-104.08,23.646
39.38,-104.05,19.373
34.56,-81.73,23.450000000000006
32.95,-85.21,24.524
39.38,-83.24,19.681
37.78,-122.03,20.471
26.52,-80.6,27.652
32.95,-117.77,21.391
28.13,-97.27,28.663
32.95,-117.77,21.391
20.09,-98.96,18.313
18.48,-99.72,22.833
18.48,-99.72,22.833
24.92,-108.18,30.553
32.95,-96.7,27.986
39.38,-83.24,19.681
28.13,-106.36,21.547
18.48,-72.68,28.497
32.95,-96.7,27.986
39.38,-104.05,19.373
40.99,-93.73,21.342
42.59,-82.91,17.503
34.56,-118.7,23.301
24.92,-104.63,21.877
36.17,-79.56,21.692
34.56,-118.7,23.301
20.09,-98.96,18.313
40.99,-74.56,17.407999999999998
53.84,-113.18,13.688
34.56,-118.7,23.301
31.35,-105.55,22.962000000000003
15.27,-87.5,26.56600000000001
40.99,-74.56,17.407999999999998
31.35,-116.86,21.298
32.95,-117.77,21.391
15.27,-90.83,21.815
44.2,-122.98,17.143
37.78,-87.46,22.468000000000004
37.78,-122.03,20.471
34.56,-79.78,23.652
42.59,-82.91,17.503
34.56,-116.76,25.185
40.99,-104.38,18.89
26.52,-80.6,27.652
40.99,-85.21,19.016
32.95,-96.7,27.986
37.78,-122.03,20.471
23.31,-102.23,18.83
36.17,-119.34,24.186
32.95,-117.77,21.391
24.92,-102.86,23.951
29.74,-83.08,27.216
32.95,-117.77,21.391
32.95,-96.7,27.986
26.52,-100.3,27.934
26.52,-100.3,27.934
32.95,-112.02,29.136
32.95,-112.02,29.136
34.56,-118.7,23.301
32.95,-96.7,27.986
42.59,-85.09,17.453
44.2,-87.2,16.627
36.17,-79.56,21.692
20.09,-104.08,23.646
26.52,-100.3,27.934
20.09,-75.07,28.406
15.27,-90.83,21.815
15.27,-90.83,21.815
28.13,-110.0,30.885
44.2,-80.5,14.599
44.2,-62.61,16.029
42.59,-80.73,16.329
36.17,-75.58,22.937
40.99,-72.43,18.06600000000001
37.78,-122.03,20.471
36.17,-115.36,25.709
29.74,-110.77,28.572
26.52,-80.6,27.652
18.48,-69.3,28.315
39.38,-104.05,19.373
20.09,-76.78,28.778
26.52,-80.6,27.652
29.74,-96.0,27.942
20.09,-98.96,18.313
32.95,-117.77,21.391
34.56,-85.62,23.126
18.48,-99.72,22.833
39.38,-93.64,22.678
39.38,-85.32,20.397
34.56,-118.7,23.301
20.09,-100.66,19.716
32.95,-117.77,21.391
32.95,-96.7,27.986
20.09,-98.96,18.313
32.95,-90.96,26.678
29.74,-81.23,27.267
40.99,-74.56,17.407999999999998
18.48,-99.72,22.833
40.99,-87.34,19.898
31.35,-105.55,22.962000000000003
39.38,-93.64,22.678
49.03,-120.0,13.966
31.35,-98.01,27.363000000000003
44.2,-76.02,15.021999999999998
18.48,-76.06,29.046000000000006
44.2,-80.5,14.599
36.17,-83.54,20.997
20.09,-98.96,18.313
15.27,-87.5,26.56600000000001
24.92,-109.95,30.951
18.48,-69.3,28.315
18.48,-70.99,27.254
29.74,-92.31,27.705
39.38,-104.05,19.373
34.56,-118.7,23.301
42.59,-85.09,17.453
28.13,-99.09,28.768
21.7,-77.02,28.781
36.17,-115.36,25.709
21.7,-101.25,19.503
12.05,-87.12,28.861
37.78,-85.42,21.716
40.99,-95.86,21.535
34.56,-91.46,25.499
42.59,-80.73,16.329
32.95,-117.77,21.391
34.56,-118.7,23.301
26.52,-109.25,30.929
20.09,-98.96,18.313
37.78,-85.42,21.716
42.59,-72.0,15.883
32.95,-102.45,23.944000000000003
21.7,-89.13,28.582
42.59,-89.45,18.445
12.05,-72.33,30.338
12.05,-85.48,27.767
42.59,-72.0,15.883
20.09,-76.78,28.778
18.48,-104.79,30.052
12.05,-85.48,27.767
26.52,-96.72,28.648000000000003
23.31,-81.26,27.88000000000001
23.31,-105.73,25.591
13.66,-90.0,27.162
34.56,-89.51,25.007
32.95,-112.02,29.136
32.95,-96.7,27.986
29.74,-90.46,27.681
18.48,-99.72,22.833
32.95,-115.85,27.32
20.09,-98.96,18.313
26.52,-80.6,27.652
42.59,-87.27,19.977
18.48,-94.65,28.687
45.81,-93.46,16.785999999999998
26.52,-80.6,27.652
15.27,-90.83,21.815
31.35,-88.59,26.365
37.78,-120.0,20.602
26.52,-102.09,25.365
26.52,-100.3,27.934
32.95,-87.13,25.281
45.81,-72.69,14.281
20.09,-100.66,19.716
34.56,-116.76,25.185
40.99,-87.34,19.898
36.17,-87.51,22.669
24.92,-78.03,28.524
20.09,-98.96,18.313
40.99,-72.43,18.06600000000001
29.74,-90.46,27.681
40.99,-74.56,17.407999999999998
40.99,-74.56,17.407999999999998
37.78,-77.29,20.894
20.09,-98.96,18.313
20.09,-98.96,18.313
31.35,-111.2,24.601
36.17,-75.58,22.937
34.56,-97.3,26.503
36.17,-115.36,25.709
34.56,-118.7,23.301
13.66,-90.0,27.162
28.13,-99.09,28.768
37.78,-122.03,20.471
16.87,-97.12,21.175
28.13,-110.0,30.885
32.95,-117.77,21.391
36.17,-97.46,25.44400000000001
39.38,-95.72,22.942
40.99,-95.86,21.535
34.56,-116.76,25.185
32.95,-117.77,21.391
18.48,-96.34,26.339
28.13,-80.91,27.712
44.2,-78.26,14.549
45.81,-75.0,13.342
39.38,-93.64,22.678
34.56,-118.7,23.301
18.48,-72.68,28.497
20.09,-98.96,18.313
20.09,-76.78,28.778
34.56,-118.7,23.301
36.17,-115.36,25.709
29.74,-96.0,27.942
34.56,-118.7,23.301
40.99,-74.56,17.407999999999998
26.52,-80.6,27.652
32.95,-112.02,29.136
40.99,-89.47,20.416
15.27,-90.83,21.815
39.38,-74.91,19.44400000000001
32.95,-112.02,29.136
28.13,-100.91,28.086
21.7,-83.94,28.392
40.99,-80.95,17.799
32.95,-96.7,27.986
34.56,-118.7,23.301
18.48,-72.68,28.497
26.52,-80.6,27.652
45.81,-123.46,16.646
18.48,-76.06,29.046000000000006
42.59,-72.0,15.883
39.38,-112.37,18.318
18.48,-98.03,21.18
37.78,-103.73,21.045
20.09,-69.95,29.031
20.09,-105.78,29.587
47.42,-72.24,11.504
20.09,-100.66,19.716
15.27,-90.83,21.815
36.17,-79.56,21.692
34.56,-116.76,25.185
50.63,-105.21,15.941
39.38,-120.69,19.211
26.52,-98.51,29.165000000000006
34.56,-116.76,25.185
32.95,-96.7,27.986
37.78,-122.03,20.471
37.78,-77.29,20.894
34.56,-116.76,25.185
42.59,-78.55,15.867
42.59,-89.45,18.445
39.38,-120.69,19.211
37.78,-122.03,20.471
39.38,-89.48,22.002
45.81,-93.46,16.785999999999998
28.13,-82.73,27.842
20.09,-100.66,19.716
44.2,-122.98,17.143
36.17,-121.33,21.34800000000001
40.99,-112.9,19.722
24.92,-101.08,20.772
29.74,-97.85,27.727
34.56,-116.76,25.185
18.48,-69.3,28.315
32.95,-117.77,21.391
37.78,-122.03,20.471
20.09,-69.95,29.031
10.45,-84.27,25.973000000000003
37.78,-122.03,20.471
20.09,-100.66,19.716
15.27,-90.83,21.815
21.7,-101.25,19.503
32.95,-113.94,30.474
26.52,-100.3,27.934
20.09,-98.96,18.313
18.48,-69.3,28.315
15.27,-87.5,26.56600000000001
13.66,-90.0,27.162
21.7,-78.75,28.283
13.66,-90.0,27.162
32.95,-117.77,21.391
26.52,-100.3,27.934
21.7,-80.48,28.619
37.78,-122.03,20.471
34.56,-118.7,23.301
37.78,-122.03,20.471
20.09,-69.95,29.031
20.09,-75.07,28.406
18.48,-69.3,28.315
52.24,-107.74,14.913
31.35,-81.05,26.489
